2014-01-01,0
2014-01-02,0
2014-01-03,0
2014-01-04,0
2014-01-05,0
2014-01-06,0
2014-01-07,0
2014-01-08,0
2014-01-09,0
2014-01-10,0
2014-01-11,0
2014-01-12,0
2014-01-13,0
2014-01-14,0
2014-01-15,0
2014-01-16,0
2014-01-17,0
2014-01-18,0
2014-01-19,0
2014-01-20,0
2014-01-21,0
2014-01-22,0
2014-01-23,0
2014-01-24,0
2014-01-25,0
2014-01-26,0
2014-01-27,0
2014-01-28,0
2014-01-29,0
2014-01-30,0
2014-01-31,0
2014-02-01,0
2014-02-02,0
2014-02-03,0
2014-02-04,0
2014-02-05,0
2014-02-06,0
2014-02-07,0
2014-02-08,0
2014-02-09,0
2014-02-10,0
2014-02-11,0
2014-02-12,0
2014-02-13,0
2014-02-14,0
2014-02-15,0
2014-02-16,0
2014-02-17,0
2014-02-18,0
2014-02-19,0
2014-02-20,0
2014-02-21,0
2014-02-22,0
2014-02-23,0
2014-02-24,0
2014-02-25,0
2014-02-26,0
2014-02-27,0
2014-02-28,0
2014-03-01,0
2014-03-02,0
2014-03-03,0
2014-03-04,0
2014-03-05,0
2014-03-06,0
2014-03-07,0
2014-03-08,0
2014-03-09,0
2014-03-10,0
2014-03-11,0
2014-03-12,0
2014-03-13,0
2014-03-14,0
2014-03-15,0
2014-03-16,0
2014-03-17,0
2014-03-18,0
2014-03-19,0
2014-03-20,0
2014-03-21,0
2014-03-22,0
2014-03-23,0
2014-03-24,0
2014-03-25,0
2014-03-26,0
2014-03-27,0
2014-03-28,0
2014-03-29,0
2014-03-30,0
2014-03-31,0
2014-04-01,0
2014-04-02,0
2014-04-03,0
2014-04-04,0
2014-04-04,110
2014-04-05,24
2014-04-06,102
2014-04-07,371
2014-04-08,167
2014-04-09,354
2014-04-10,404
2014-04-11,479
2014-04-12,225
2014-04-13,95
2014-04-14,496
2014-04-15,220
2014-04-16,372
2014-04-17,536
2014-04-18,197
2014-04-19,263
2014-04-20,438
2014-04-21,371
2014-04-22,438
2014-04-23,850
2014-04-24,1024
2014-04-25,1064
2014-04-26,69
2014-04-27,575
2014-04-28,1470
2014-04-29,963
2014-04-30,616
2014-05-01,705
2014-05-02,1216
2014-05-03,353
2014-05-04,153
2014-05-05,1707
2014-05-06,1956
2014-05-07,2083
2014-05-08,2216
2014-05-09,1250
2014-05-10,829
2014-05-11,982
2014-05-12,2141
2014-05-13,1669
2014-05-14,1960
2014-05-15,1868
2014-05-16,879
2014-05-17,699
2014-05-18,1044
2014-05-19,1373
2014-05-20,2503
2014-05-21,2750
2014-05-22,1957
2014-05-23,1765
2014-05-24,892
2014-05-25,1344
2014-05-26,1986
2014-05-27,2407
2014-05-28,2192
2014-05-29,2466
2014-05-30,2189
2014-05-31,1234
2014-06-01,1522
2014-06-02,2663
2014-06-03,1646
2014-06-04,2632
2014-06-05,2095
2014-06-06,2228
2014-06-07,1283
2014-06-08,1341
2014-06-09,2745
2014-06-10,2970
2014-06-11,1734
2014-06-12,926
2014-06-13,823
2014-06-14,747
2014-06-15,1509
2014-06-16,2587
2014-06-17,2656
2014-06-18,2521
2014-06-19,2885
2014-06-20,2269
2014-06-21,1188
2014-06-22,1478
2014-06-23,2303
2014-06-24,682
2014-06-25,2204
2014-06-26,2670
2014-06-27,2361
2014-06-28,1147
2014-06-29,1194
2014-06-30,1601
2014-07-01,1793
2014-07-02,2286
2014-07-03,2103
2014-07-04,2178
2014-07-05,1121
2014-07-06,1351
2014-07-07,1035
2014-07-08,2432
2014-07-09,2227
2014-07-10,2810
2014-07-11,2464
2014-07-12,1161
2014-07-13,330
2014-07-14,2618
2014-07-15,1753
2014-07-16,2645
2014-07-17,2486
2014-07-18,2206
2014-07-19,1216
2014-07-20,968
2014-07-21,2361
2014-07-22,2579
2014-07-23,2280
2014-07-24,2650
2014-07-25,2233
2014-07-26,1121
2014-07-27,687
2014-07-28,1566
2014-07-29,2585
2014-07-30,1148
2014-07-31,1699
2014-08-01,1971
2014-08-02,1102
2014-08-03,1239
2014-08-04,1375
2014-08-05,2013
2014-08-06,2551
2014-08-07,2443
2014-08-08,2029
2014-08-09,1111
2014-08-10,1207
2014-08-11,2237
2014-08-12,1280
2014-08-13,951
2014-08-14,1294
2014-08-15,1226
2014-08-16,268
2014-08-17,821
2014-08-18,2239
2014-08-19,2540
2014-08-20,2328
2014-08-21,1288
2014-08-22,1661
2014-08-23,1146
2014-08-24,1262
2014-08-25,2276
2014-08-26,2336
2014-08-27,2367
2014-08-28,2043
2014-08-29,1890
2014-08-30,985
2014-08-31,564
2014-09-01,1282
2014-09-02,1536
2014-09-03,2466
2014-09-04,2427
2014-09-05,1906
2014-09-06,496
2014-09-07,1158
2014-09-08,2424
2014-09-09,2534
2014-09-10,2361
2014-09-11,1363
2014-09-12,1851
2014-09-13,165
2014-09-14,497
2014-09-15,1858
2014-09-16,2179
2014-09-17,1765
2014-09-18,1864
2014-09-19,1509
2014-09-20,487
2014-09-21,263
2014-09-22,1438
2014-09-23,1969
2014-09-24,2096
2014-09-25,2155
2014-09-26,2050
2014-09-27,1040
2014-09-28,1035
2014-09-29,1946
2014-09-30,1917
